Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Output IGST @ 18%,Shipping Local GST @ 12%,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Local GST Sales @ 18%,Interstate GST Sales @ 18%,Local GST Sales @ 5%,Interstate GST Sales @ 5%,Shipping Local GST @ 18%,Shipping Interstate GST @ 18%,Shipping Interstate GST @ 18%
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
01-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1034,PSB2526/INV-1034,Being Sale of Goods - Accounted,7 Pr,,5083.01,5693.00 Dr,5083.01 Cr,,0.02 Cr,,,609.97 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
01-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1035,PSB2526/INV-1035,Being Sale of Goods - Accounted,4 Pr,,3253.58,3644.00 Dr,3253.58 Cr,,,,,390.42 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
